Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0112","Maize (corn)","2000","2000","ha","11890376","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5419","Yield","0112","Maize (corn)","2000","2000","100 g/ha","27182","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0112","Maize (corn)","2000","2000","t","32321000","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0112","Maize (corn)","2001","2001","ha","12335175","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5419","Yield","0112","Maize (corn)","2001","2001","100 g/ha","34019","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0112","Maize (corn)","2001","2001","t","41962475","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0112","Maize (corn)","2002","2002","ha","11760965","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5419","Yield","0112","Maize (corn)","2002","2002","100 g/ha","30559","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0112","Maize (corn)","2002","2002","t","35940832","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0112","Maize (corn)","2003","2003","ha","12965678","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5419","Yield","0112","Maize (corn)","2003","2003","100 g/ha","37273","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0112","Maize (corn)","2003","2003","t","48327323","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0112","Maize (corn)","2004","2004","ha","12410677","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5419","Yield","0112","Maize (corn)","2004","2004","100 g/ha","33671","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0112","Maize (corn)","2004","2004","t","41787558","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0112","Maize (corn)","2005","2005","ha","11549425","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5419","Yield","0112","Maize (corn)","2005","2005","100 g/ha","30403","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0112","Maize (corn)","2005","2005","t","35113312","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0112","Maize (corn)","2006","2006","ha","12613094","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5419","Yield","0112","Maize (corn)","2006","2006","100 g/ha","33823","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0112","Maize (corn)","2006","2006","t","42661677","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0112","Maize (corn)","2007","2007","ha","13767400","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5419","Yield","0112","Maize (corn)","2007","2007","100 g/ha","37852","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0112","Maize (corn)","2007","2007","t","52112217","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0112","Maize (corn)","2008","2008","ha","14444582","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5419","Yield","0112","Maize (corn)","2008","2008","100 g/ha","40800","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0112","Maize (corn)","2008","2008","t","58933347","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0112","Maize (corn)","2009","2009","ha","13654715","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5419","Yield","0112","Maize (corn)","2009","2009","100 g/ha","37145","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0112","Maize (corn)","2009","2009","t","50719822","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0112","Maize (corn)","2010","2010","ha","12678875","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5419","Yield","0112","Maize (corn)","2010","2010","100 g/ha","43667","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0112","Maize (corn)","2010","2010","t","55364271","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0112","Maize (corn)","2011","2011","ha","13218892","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5419","Yield","0112","Maize (corn)","2011","2011","100 g/ha","42107","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0112","Maize (corn)","2011","2011","t","55660235","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0112","Maize (corn)","2012","2012","ha","14198496","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5419","Yield","0112","Maize (corn)","2012","2012","100 g/ha","50057","A","Official figure",""
