Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"TCL","Crops and livestock products","076","Brazil","5610","Import Quantity","0112","Maize (corn)","2000","2000","t","1771194","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5622","Import Value","0112","Maize (corn)","2000","2000","1000 USD","201960","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","0112","Maize (corn)","2000","2000","t","6699","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5922","Export Value","0112","Maize (corn)","2000","2000","1000 USD","9366","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5610","Import Quantity","0112","Maize (corn)","2001","2001","t","624362","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5622","Import Value","0112","Maize (corn)","2001","2001","1000 USD","62044","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","0112","Maize (corn)","2001","2001","t","5628978","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5922","Export Value","0112","Maize (corn)","2001","2001","1000 USD","497328","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5610","Import Quantity","0112","Maize (corn)","2002","2002","t","345256","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5622","Import Value","0112","Maize (corn)","2002","2002","1000 USD","34758","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","0112","Maize (corn)","2002","2002","t","2746990","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5922","Export Value","0112","Maize (corn)","2002","2002","1000 USD","267597","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5610","Import Quantity","0112","Maize (corn)","2003","2003","t","797670","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5622","Import Value","0112","Maize (corn)","2003","2003","1000 USD","70605","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","0112","Maize (corn)","2003","2003","t","3566232","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5922","Export Value","0112","Maize (corn)","2003","2003","1000 USD","375136","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5610","Import Quantity","0112","Maize (corn)","2004","2004","t","330490","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5622","Import Value","0112","Maize (corn)","2004","2004","1000 USD","35927","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","0112","Maize (corn)","2004","2004","t","5030999","A","Official figure",""
