Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Source Code,Source,Unit,Value,Flag,Flag Description,Note
"GCE","Emissions from Crops","076","Brazil","72430","Crops total (Emissions N2O)","0112","Maize (corn)","2000","2000","3050","FAO TIER 1","kt","6.4353","E","Estimated value",""
"GCE","Emissions from Crops","076","Brazil","72440","Crops total (Emissions CH4)","0112","Maize (corn)","2000","2000","3050","FAO TIER 1","kt","32.104","E","Estimated value",""
"GCE","Emissions from Crops","076","Brazil","72430","Crops total (Emissions N2O)","0112","Maize (corn)","2001","2001","3050","FAO TIER 1","kt","7.8851","E","Estimated value",""
"GCE","Emissions from Crops","076","Brazil","72440","Crops total (Emissions CH4)","0112","Maize (corn)","2001","2001","3050","FAO TIER 1","kt","33.305","E","Estimated value",""
"GCE","Emissions from Crops","076","Brazil","72430","Crops total (Emissions N2O)","0112","Maize (corn)","2002","2002","3050","FAO TIER 1","kt","6.9347","E","Estimated value",""
"GCE","Emissions from Crops","076","Brazil","72440","Crops total (Emissions CH4)","0112","Maize (corn)","2002","2002","3050","FAO TIER 1","kt","31.7546","E","Estimated value",""
"GCE","Emissions from Crops","076","Brazil","72430","Crops total (Emissions N2O)","0112","Maize (corn)","2003","2003","3050","FAO TIER 1","kt","8.8932","E","Estimated value",""
"GCE","Emissions from Crops","076","Brazil","72440","Crops total (Emissions CH4)","0112","Maize (corn)","2003","2003","3050","FAO TIER 1","kt","35.0073","E","Estimated value",""
"GCE","Emissions from Crops","076","Brazil","72430","Crops total (Emissions N2O)","0112","Maize (corn)","2004","2004","3050","FAO TIER 1","kt","7.8715","E","Estimated value",""
"GCE","Emissions from Crops","076","Brazil","72440","Crops total (Emissions CH4)","0112","Maize (corn)","2004","2004","3050","FAO TIER 1","kt","33.5088","E","Estimated value",""
"GCE","Emissions from Crops","076","Brazil","72430","Crops total (Emissions N2O)","0112","Maize (corn)","2005","2005","3050","FAO TIER 1","kt","6.784","E","Estimated value",""
"GCE","Emissions from Crops","076","Brazil","72440","Crops total (Emissions CH4)","0112","Maize (corn)","2005","2005","3050","FAO TIER 1","kt","31.1834","E","Estimated value",""
"GCE","Emissions from Crops","076","Brazil","72430","Crops total (Emissions N2O)","0112","Maize (corn)","2006","2006","3050","FAO TIER 1","kt","8.0275","E","Estimated value",""
"GCE","Emissions from Crops","076","Brazil","72440","Crops total (Emissions CH4)","0112","Maize (corn)","2006","2006","3050","FAO TIER 1","kt","34.0554","E","Estimated value",""
"GCE","Emissions from Crops","076","Brazil","72430","Crops total (Emissions N2O)","0112","Maize (corn)","2007","2007","3050","FAO TIER 1","kt","9.5574","E","Estimated value",""
"GCE","Emissions from Crops","076","Brazil","72440","Crops total (Emissions CH4)","0112","Maize (corn)","2007","2007","3050","FAO TIER 1","kt","37.172","E","Estimated value",""
"GCE","Emissions from Crops","076","Brazil","72430","Crops total (Emissions N2O)","0112","Maize (corn)","2008","2008","3050","FAO TIER 1","kt","10.638","E","Estimated value",""
"GCE","Emissions from Crops","076","Brazil","72440","Crops total (Emissions CH4)","0112","Maize (corn)","2008","2008","3050","FAO TIER 1","kt","39.0004","E","Estimated value",""
"GCE","Emissions from Crops","076","Brazil","72430","Crops total (Emissions N2O)","0112","Maize (corn)","2009","2009","3050","FAO TIER 1","kt","9.3407","E","Estimated value",""
