Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1357","Pesticides (total)","2000","2000","t","141130","E","Estimated value",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1357","Pesticides (total)","2001","2001","t","152271","E","Estimated value",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1357","Pesticides (total)","2002","2002","t","146264","E","Estimated value",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1357","Pesticides (total)","2003","2003","t","183340","E","Estimated value",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1357","Pesticides (total)","2004","2004","t","215779","E","Estimated value",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1357","Pesticides (total)","2005","2005","t","233367","E","Estimated value",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1357","Pesticides (total)","2006","2006","t","239892","E","Estimated value",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1357","Pesticides (total)","2007","2007","t","305530","E","Estimated value",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1357","Pesticides (total)","2008","2008","t","314191","E","Estimated value",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1357","Pesticides (total)","2009","2009","t","337391","E","Estimated value",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1357","Pesticides (total)","2010","2010","t","360735","E","Estimated value",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1357","Pesticides (total)","2011","2011","t","408787","E","Estimated value",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1357","Pesticides (total)","2012","2012","t","456839","E","Estimated value",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1357","Pesticides (total)","2013","2013","t","472977","E","Estimated value",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1357","Pesticides (total)","2014","2014","t","484254","E","Estimated value",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1357","Pesticides (total)","2015","2015","t","497626","E","Estimated value",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1357","Pesticides (total)","2016","2016","t","514829","E","Estimated value",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1357","Pesticides (total)","2017","2017","t","514843","A","Official figure",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1357","Pesticides (total)","2018","2018","t","549280","A","Official figure",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1357","Pesticides (total)","2019","2019","t","620538","A","Official figure",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1357","Pesticides (total)","2020","2020","t","685746","A","Official figure",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1357","Pesticides (total)","2021","2021","t","719507","E","Estimated value",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1309","Insecticides","2000","2000","t","28382","E","Estimated value",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1309","Insecticides","2001","2001","t","29799","E","Estimated value",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1309","Insecticides","2002","2002","t","29208","E","Estimated value",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1309","Insecticides","2003","2003","t","34049","E","Estimated value",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1309","Insecticides","2004","2004","t","43192","E","Estimated value",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1309","Insecticides","2005","2005","t","43763","E","Estimated value",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1309","Insecticides","2006","2006","t","45435","E","Estimated value",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1309","Insecticides","2007","2007","t","57421","E","Estimated value",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1309","Insecticides","2008","2008","t","65642","E","Estimated value",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1309","Insecticides","2009","2009","t","61180","E","Estimated value",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1309","Insecticides","2010","2010","t","77165","E","Estimated value",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1309","Insecticides","2011","2011","t","76367","E","Estimated value",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1309","Insecticides","2012","2012","t","75569","E","Estimated value",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1309","Insecticides","2013","2013","t","100064","E","Estimated value",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1309","Insecticides","2014","2014","t","116056","E","Estimated value",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1309","Insecticides","2015","2015","t","92560","E","Estimated value",""
